timestamp,BWB_2_HeatMeter_ReturnTemperature_C,BWB_2_HeatMeter_Power_Watt,BWB_2_HeatMeter_VolumeFlow_m3_per_hour,BWB_2_HeatMeter_FlowTemperature_Ce,BWB_2_HeatMeter_TemperatureDifference_K
15-Apr-19 12:30:00 AM CEST,58.00,80800.00,1.74,98.00,40.50
15-Apr-19 12:45:00 AM CEST,55.00,223100.00,4.55,98.00,42.70
15-Apr-19 1:00:00 AM CEST,57.00,298200.00,6.51,97.00,39.90
15-Apr-19 1:15:00 AM CEST,54.00,38200.00,0.77,98.00,43.40
15-Apr-19 1:30:00 AM CEST,53.00,103100.00,2.00,98.00,44.90
15-Apr-19 1:45:00 AM CEST,54.00,403300.00,7.98,98.00,44.00
15-Apr-19 2:00:00 AM CEST,52.00,377200.00,7.09,98.00,46.30
15-Apr-19 2:15:00 AM CEST,49.00,234600.00,4.28,97.00,47.70
15-Apr-19 2:30:00 AM CEST,55.00,275100.00,5.81,96.00,41.20
15-Apr-19 2:45:00 AM CEST,54.00,454900.00,9.17,97.00,43.20
15-Apr-19 3:00:00 AM CEST,56.00,178800.00,3.76,97.00,41.40
15-Apr-19 3:15:00 AM CEST,52.00,317200.00,6.10,97.00,45.30
15-Apr-19 3:30:00 AM CEST,55.00,244300.00,5.07,97.00,42.00
15-Apr-19 3:45:00 AM CEST,53.00,71500.00,1.41,97.00,44.30
15-Apr-19 4:00:00 AM CEST,51.00,377600.00,7.15,97.00,45.90
15-Apr-19 4:15:00 AM CEST,53.00,429600.00,8.54,97.00,43.80
15-Apr-19 4:30:00 AM CEST,46.00,389700.00,6.68,97.00,50.60
15-Apr-19 4:45:00 AM CEST,49.00,291400.00,5.32,97.00,47.70
15-Apr-19 5:00:00 AM CEST,48.00,394400.00,7.08,97.00,48.40
15-Apr-19 5:15:00 AM CEST,50.00,365400.00,6.86,96.00,46.30
15-Apr-19 5:30:00 AM CEST,51.00,349100.00,6.65,96.00,45.70
15-Apr-19 5:45:00 AM CEST,51.00,322700.00,6.24,96.00,45.00
15-Apr-19 6:00:00 AM CEST,52.00,339400.00,6.80,95.00,43.40
15-Apr-19 6:15:00 AM CEST,51.00,329700.00,6.51,96.00,44.10
15-Apr-19 6:30:00 AM CEST,51.00,355600.00,6.89,96.00,44.90
15-Apr-19 6:45:00 AM CEST,52.00,382400.00,7.60,95.00,43.80
15-Apr-19 7:00:00 AM CEST,53.00,477900.00,10.03,94.00,41.50
15-Apr-19 7:15:00 AM CEST,52.00,452000.00,9.33,95.00,42.20
15-Apr-19 7:30:00 AM CEST,53.00,415400.00,8.73,94.00,41.40
15-Apr-19 7:45:00 AM CEST,53.00,385400.00,7.45,98.00,45.00
15-Apr-19 8:00:00 AM CEST,52.00,388800.00,7.37,98.00,45.90
15-Apr-19 8:15:00 AM CEST,52.00,383400.00,7.47,97.00,44.70
15-Apr-19 8:30:00 AM CEST,53.00,398500.00,8.04,97.00,43.10
15-Apr-19 8:45:00 AM CEST,53.00,388900.00,7.70,97.00,44.00
15-Apr-19 9:00:00 AM CEST,53.00,437800.00,8.75,97.00,43.60
15-Apr-19 9:15:00 AM CEST,53.00,352100.00,6.98,97.00,43.90
15-Apr-19 9:30:00 AM CEST,52.00,303600.00,5.96,97.00,44.30
15-Apr-19 9:45:00 AM CEST,52.00,335700.00,6.51,97.00,44.90
15-Apr-19 10:00:00 AM CEST,51.00,334000.00,6.41,97.00,45.30
15-Apr-19 10:15:00 AM CEST,52.00,327200.00,6.27,97.00,45.40
15-Apr-19 10:30:00 AM CEST,52.00,278700.00,5.31,97.00,45.70
15-Apr-19 10:45:00 AM CEST,52.00,278200.00,5.27,98.00,45.90
15-Apr-19 11:00:00 AM CEST,51.00,274000.00,5.06,98.00,47.10
15-Apr-19 11:15:00 AM CEST,52.00,336400.00,6.25,99.00,46.80
15-Apr-19 11:30:00 AM CEST,52.00,246000.00,4.57,99.00,46.80
